,name,isVerified,rating,reviews,company_type,salaries,jobs
89,Muthoot Finance,1,3.6,(5.2k),NBFC,12.3k,140
90,eClerx,1,3.3,(5.2k),IT Services & Consulting,29.1k,60
91,Udaan,0,4.0,(5.1k),Internet,17k,5
92,Omega Healthcare,1,3.7,(5.1k),BPO,23.4k,102
93,Bajaj Allianz Life Insurance,1,3.9,(5.1k),Insurance,16k,145
94,JLL,1,4.1,(5.1k),Real Estate,21.5k,319
95,L&T Technology Services,0,3.3,(5.1k),IT Services & Consulting,38.8k,514
96,Virtusa Consulting Services,0,3.8,(5k),IT Services & Consulting,53.1k,46
97,Indiamart Intermesh,1,3.6,(5k),Internet,19.1k,667
98,Coforge,1,3.3,(5k),IT Services & Consulting,41.8k,322
99,HSBC Group,0,3.9,(4.9k),Financial Services,37.2k,228
100,Siemens,1,4.1,(4.9k),Industrial Automation,30.8k,1.3k
101,Aurobindo Pharma,0,4.0,(4.9k),Pharma,21.4k,18
102,Shapoorji Pallonji Group,0,4.1,(4.8k),Engineering & Construction,15k,36
103,Standard Chartered,1,3.7,(4.8k),Banking,39.9k,--
104,Firstsource Solutions,0,3.6,(4.7k),BPO,22.5k,103
105,DMart,1,3.9,(4.7k),Retail,16k,117
106,CGI Group,1,4.0,(4.7k),IT Services & Consulting,43.3k,209
107,Cholamandalam Investment & Finance,1,3.9,(4.8k),Financial Services,11.1k,24
108,GlobalLogic,1,3.7,(4.7k),IT Services & Consulting,36.2k,40
109,Apollo Hospitals,0,4.1,(4.7k),Healthcare,16.1k,34
110,Ashok Leyland,0,4.1,(4.6k),Automobile,18k,1
111,ICICI Lombard General Insurance Company,1,3.7,(4.6k),Insurance,18.8k,100
112,BigBasket,1,3.9,(4.7k),Internet,17.4k,52
113,Cyient,0,3.7,(4.6k),IT Services & Consulting,26.3k,62
114,Bosch Global Software Technologies,0,3.9,(4.6k),IT Services & Consulting,36.6k,21
115,UST,1,3.8,(4.6k),IT Services & Consulting,36.7k,1.1k
116,Citicorp,0,3.7,(4.6k),Financial Services,44.7k,--
117,Hero MotoCorp,1,4.1,(4.5k),Automobile,14.9k,1
118,Mahindra Finance,0,4.1,(4.5k),NBFC,11.1k,46
119,JustDial,1,3.5,(4.5k),Internet,15.1k,47
120,Eviden,0,3.6,(4.4k),IT Services & Consulting,29.8k,45
121,Vivo,0,4.1,(4.4k),Consumer Electronics & Appliances,13.2k,5
122,SMFG India Credit,0,4.0,(4.4k),NBFC,10.5k,97
123,Home Credit Finance,1,4.1,(4.3k),NBFC,10.5k,79
