,name,isVerified,rating,reviews,company_type,salaries,jobs
212,Dabur,0,4.0,(3k),FMCG,8.3k,45
213,Marpu Foundation,1,4.8,(3k),Non-Profit,49,--
214,Reliance Digital,0,4.1,(3k),Retail,8k,--
215,Johnson Controls,1,3.6,(3k),Industrial Automation,16.4k,242
216,Ford Motor,0,4.3,(3k),Automobile,14.5k,--
217,"NTT DATA, Inc.",1,4.0,(3k),IT Services & Consulting,26.3k,775
218,State Street Corporation,0,3.7,(3k),Financial Services,27.4k,9
219,Glenmark Pharmaceuticals,0,3.9,(2.9k),Pharma,11.4k,95
220,Alkem Laboratories,1,3.9,(2.9k),Pharma,9.2k,72
221,Ipca Laboratories,0,3.9,(2.9k),Pharma,11.1k,46
222,24/7 Customer,0,3.5,(2.9k),Software Product,13.3k,34
223,UBS,1,3.9,(2.9k),Financial Services,28.8k,--
224,PNB MetLife,0,3.4,(2.9k),Insurance,7.7k,330
225,Aarti Industries,0,4.1,(2.9k),Agro Chemicals,13.8k,26
226,Vishal Mega Mart,1,3.7,(2.9k),Retail,6.3k,--
227,Kotak Mahindara Life Insurance,1,3.7,(2.9k),Insurance,11.5k,97
228,Kyndryl,1,4.0,(2.9k),IT Services & Consulting,21.4k,39
229,JK Cement,1,4.1,(2.9k),Building Material,8.9k,--
230,Honda Motorcycle & Scooter,0,4.1,(2.9k),Automobile,11k,--
231,KPIT Technologies,1,3.4,(2.9k),Software Product,21k,35
232,MRF Tyres,0,3.7,(2.8k),Auto Components,11.6k,24
233,Indian Air Force,0,4.5,(2.8k),Defence & Aerospace,5.3k,--
234,Hindustan Coca Cola Beverages,0,4.1,(2.8k),Beverage,7.5k,50
235,HARMAN,0,3.7,(2.8k),Consumer Electronics & Appliances,23.5k,309
236,Motilal Oswal Financial Services,1,3.7,(2.9k),Financial Services,10.5k,48
237,DTDC Express,1,3.7,(2.8k),Logistics,8.4k,24
238,IGT Solutions,0,3.3,(2.8k),IT Services & Consulting,12.4k,110
239,Aditya Birla Sun Life Insurance,0,4.0,(2.8k),Insurance,8.9k,2
240,Reliance Nippon Life Insurance,0,3.6,(2.8k),Insurance,8.3k,10
241,ABB,1,4.1,(2.8k),Industrial Machinery,15.9k,21
242,Conduent,1,3.5,(2.8k),BPO,17.5k,52
243,Ceat Tyres,0,4.0,(2.8k),Auto Components,12.3k,3
244,NatWest Group,0,4.0,(2.8k),Banking,19.5k,1
245,Square Yards,1,3.7,(2.7k),Internet,8.7k,49
246,GeBBS Healthcare Solutions,1,3.7,(2.8k),Healthcare,11.2k,41
247,InterGlobe Aviation,0,3.6,(2.7k),Aviation,12.9k,32
248,Grasim Industries,0,4.0,(2.7k),Building Material,10.9k,5
249,Whitehat jr,1,3.4,(2.7k),EdTech,9.5k,--
250,UnitedHealth,0,4.0,(2.7k),Healthcare,17.2k,--
251,Alstom Transportation,1,3.7,(2.7k),Engineering & Construction,12.9k,121
252,ArcelorMittal Nippon Steel,1,4.1,(2.7k),Iron & Steel,10.1k,11
253,RSPL Group,1,4.1,(2.7k),FMCG,9k,29
254,Tata Capital,0,4.0,(2.7k),NBFC,9.6k,894
255,CMS IT Services,0,3.1,(2.7k),IT Services & Consulting,10k,7
256,Max Healthcare,1,4.1,(2.7k),Healthcare,9.7k,100
257,Tata Technologies,1,3.6,(2.7k),Engineering & Construction,20.6k,80
258,Tata AIG,0,4.1,(2.6k),Insurance,10.7k,108
259,PepsiCo,1,4.0,(2.6k),Food Processing,11.4k,286
260,S&P Global,0,4.1,(2.6k),Analytics & KPO,18.1k,212
261,Titan Company,1,4.3,(2.6k),Retail,8.9k,69
262,Varroc Group,1,3.6,(2.6k),Auto Components,8.9k,35
263,UNO Minda,1,4.0,(2.6k),Auto Components,9.6k,16
264,Amazon Transportation Services,0,4.2,(2.6k),Hyderabad / Secunderabad +208 other locations,7.7k,--
265,UPL,0,4.1,(2.6k),Agro Chemicals,10.8k,61
266,ACC,0,3.9,(2.6k),Building Material,9.2k,4
267,Zensar Technologies,1,3.7,(2.6k),IT Services & Consulting,25.2k,265
268,Torrent Pharmaceuticals,0,3.9,(2.6k),Pharma,10.1k,46
269,Croma,1,4.0,(2.6k),Retail,7.7k,52
270,Mankind Pharma,1,3.9,(2.5k),Pharma,8.6k,16
271,Walmart,0,3.7,(2.5k),Retail,17.9k,213
272,Afcons Infrastructure,1,4.2,(2.5k),Engineering & Construction,8k,4
273,Shoppers Stop,0,4.1,(2.5k),Retail,7.1k,9
274,Bajaj Allianz General Insurance,0,3.9,(2.5k),Insurance,8.8k,298
275,Societe Generale Global Solution Centre,1,3.8,(2.5k),IT Services & Consulting,20.7k,21
276,Barclays,0,3.8,(2.5k),Banking,25.6k,--
277,Dilip Buildcon,0,4.0,(2.5k),Engineering & Construction,8.1k,12
278,TVS Credit,1,4.3,(2.5k),NBFC,6.6k,21
279,I Process Services,0,3.9,(2.5k),Mumbai +356 other locations,5.4k,2
280,Quest Global,1,3.6,(2.5k),IT Services & Consulting,19k,103
